Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,relative factor of certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,Max CommFreq,Min TSLC,DTM response
DERAS,Ex,1629394615.096403,0.41,0.0009286134082130998,0,0.0,0.0002685470079335349,1.0,4,0,4,1629394615.096403,1629393715.096362,0.004444444243113209,0.41,0.14525390624999998,300.0000138282776,0,0,0,0.044325774731588795,1,100.0,Do nothing
DTM,Ex,1629394615.096406,0.17,0.0009286134034161285,0,0.0,0.00026854700871608217,1.0,4,0,4,1629394615.096406,1629393715.096365,0.004444444241935833,0.17,0.13640723981900452,300.00001287460327,0,0,0,0.09025642203996906,1,100.0,Do nothing
DER,Ex,1629394915.096410,0.39,0.001342734987023589,0,0.0,0.00030722109641241597,1.0,5,0,5,1629394915.09641,1629393715.096317,0.004166666343808199,0.39,0.22617261904761898,300.00001406669617,0,0,0,0.09656498805865148,1,100.0,Do nothing
DCM,Ex,1629394915.096413,0.38,0.0013427350410904876,0,0.0,0.00030722110617871116,1.0,5,0,5,1629394915.096413,1629393715.096357,0.00416666647295158,0.38,0.15102392344497606,300.0000138282776,0,0,0,0.05733869885752339,1,100.0,Do nothing
DERAS,Ex,1629394915.096417,0.33,0.0013427350396676746,0,0.0,0.00030722110617871116,1.0,5,0,5,1629394915.096417,1629393715.096362,0.004166666476262949,0.33,0.15449121093749998,300.00001406669617,0,0,0,0.07015959250916891,1,100.0,Do nothing
DTM,Ex,1629394915.096420,0.34,0.0013427350435804108,0,0.0,0.00030722110611767177,1.0,5,0,5,1629394915.09642,1629393715.096365,0.0041666664754351065,0.34,0.14610213316095666,300.00001406669617,0,0,0,0.06200023979768876,1,100.0,Do nothing
DER,Ex,1629395215.096423,0.24,0.001843326578474496,0,0.0,0.00034557566653927856,1.0,6,0,6,1629395215.096423,1629393715.096317,0.003999999717712422,0.24,0.2268011363636363,300.00001287460327,0,0,0,0.10316020018238505,1,100.0,Do nothing
DCM,Ex,1629395215.096426,0.21,0.001843326637072267,0,0.0,0.0003455756747784441,1.0,6,0,6,1629395215.096426,1629393715.096357,0.0039999998162587565,0.21,0.15358810068649884,300.00001311302185,0,0,0,0.0801144421805865,1,100.0,Do nothing
DERAS,Ex,1629395215.096430,0.19,0.001843326637072267,0,0.0,0.00034557567499815517,1.0,6,0,6,1629395215.09643,1629393715.096362,0.003999999818801888,0.19,0.15597074381510415,300.00001311302185,0,0,0,0.08054814220544812,1,100.0,Do nothing
DTM,Ex,1629395215.096433,0.19,0.0018433266367060305,0,0.0,0.00034557567527279405,1.0,6,0,6,1629395215.096433,1629393715.096365,0.003999999818801888,0.19,0.1478580478345184,300.00001287460327,0,0,0,0.07624452251776849,1,100.0,Do nothing
