Actor,Message Eval Catagory,Current Time,Transit Time,trust score,reputation,distrust score,certainty,expected message count,unexpected message count,total message count,time stamp,registration date,communication frequency,message transit time,average transit time,time since last communication,timeout count,alert count,other action count,SD transit time,relative factor of certainty
DER,Dis,1608189892.719617,19,-0.0,0,0.0,0.0,1,5,6,1608189968.856582,1608189872.71953,0.11293056064595261,19.0,11.80624303232999,3.0,0,0,0,17.45697367065853,0.5333333333333334
DERAS,Dis,1608189893.719621,28,-2.526874245423886e-09,0,1.6656353764535396e-12,3.3312707529070793e-13,2,5,7,1608189970.856582,1608189871.719525,0.12919698492163348,28.0,14.760646474268766,7.0,0,0,0,22.378966480939503,0.3428571428571429
DER,Ind,1608189894.719626,19,-0.0,0,0.0,0.0,1,6,7,1608189972.856582,1608189872.71953,0.13150388694412887,19.0,12.072678475577026,3.0,0,0,0,17.588174134123093,0.5714285714285715
DTM,Ux,1608189895.719630,27,-6.649316117921797e-07,0,6.87274616591041e-10,1.374549233182082e-10,0,5,5,1608189974.856582,1608189870.719519,0.09044017141797642,27.0,18.829185267857145,7.0,0,0,0,27.365214480293222,0.8
DER,Ex,1608189896.719634,29,-0.0,0,0.0,0.0,2,6,8,1608189976.856582,1608189872.71953,0.14997026779614508,29.0,12.65637921779851,3.0,0,0,0,18.05046197063019,0.4
DERAS,Dis,1608189897.719638,23,-1.932137036686106e-11,0,1.679798993523303e-14,2.799664989205505e-15,2,6,8,1608189978.856582,1608189871.719525,0.14707341715872518,23.0,15.03529159179314,7.0,0,0,0,22.508143418045897,0.4
DER,Dis,1608189898.719643,30,-0.0,0,0.0,0.0,2,7,9,1608189980.856582,1608189872.71953,0.16838028297836147,30.0,13.215850855934042,3.0,0,0,0,18.497643042705963,0.4444444444444445
DERAS,Ind,1608189899.719647,45,-1.9037721926597436e-13,0,4.794547829189043e-16,6.849354041698634e-17,2,7,9,1608189982.856582,1608189871.719525,0.16513811459486769,45.0,15.971688729549605,3.0,0,0,0,23.414507800953114,0.4444444444444445
DERAS,Dis,1608189900.719652,35,-5.342496152524934e-15,0,4.8215955268349173e-17,6.026994408543647e-18,2,8,10,1608189984.856582,1608189871.719525,0.18332003681939416,35.0,16.548304222593558,1.0,0,0,0,23.83072771256632,0.48
DTM,Dis,1608189901.719656,45,-8.247295399092491e-09,0,6.472301463851225e-12,1.078716910641871e-12,0,6,6,1608189986.856582,1608189870.719519,0.1079070662822954,45.0,19.59891511292017,11.0,0,0,0,27.980330592430686,0.8
DCM,Dis,1608189902.719660,15,-3.007213038176348e-12,0,1.0380411886772368e-15,1.297551485846546e-16,1,8,9,1608189988.856582,1608189869.719499,0.158869297555976,15.0,17.309764172335598,29.0,0,0,0,19.745961571072467,0.6222222222222222
DCM,Ind,1608189903.719664,21,-1.154820822403426e-14,0,1.3180014009218554e-16,1.464446001024284e-17,1,9,10,1608189990.856582,1608189869.719499,0.17634728961121587,21.0,17.412270723104054,1.0,0,0,0,19.787828139621,0.6400000000000001
DER,Ex,1608189904.719669,43,-0.0,0,0.0,0.0,3,7,10,1608189992.856582,1608189872.71953,0.1860431545898399,43.0,14.020827859827717,11.0,0,0,0,19.400704674373188,0.32000000000000006
DTM,Ux,1608189905.719673,18,-7.551018374493097e-11,0,1.0824765045650974e-13,1.5463950065215677e-14,0,7,7,1608189994.856582,1608189870.719519,0.12543565576451718,18.0,19.556838399422272,7.0,0,0,0,27.95734171946192,0.8
DER,Ux,1608189906.719677,20,-0.0,0,0.0,0.0,3,8,11,1608189996.856582,1608189872.71953,0.20419541009388317,20.0,14.174139965985981,3.0,0,0,0,19.46999178998531,0.3636363636363637
DCM,Ind,1608189907.719682,27,-1.449801541014041e-15,0,2.6466992683807244e-18,2.6466992683807245e-19,1,10,11,1608189998.856582,1608189869.719499,0.19328113339141179,27.0,17.651963955026453,7.0,0,0,0,19.939339138614802,0.6545454545454545
DTM,Ux,1608189908.719686,38,-1.237116005217254e-12,0,2.8296087153135466e-15,3.5370108941419333e-16,0,8,8,1608190000.856582,1608189870.719519,0.14295388949885854,38.0,20.006671609192463,5.0,0,0,0,28.252547693965642,0.8
DTM,Ux,1608189909.719690,36,-3.18330980472774e-14,0,4.0916134361653763e-16,4.546237151294863e-17,0,9,9,1608190002.856582,1608189870.719519,0.16066663658092026,36.0,20.387465142306926,1.0,0,0,0,28.48539561151557,0.8
DCM,Ux,1608189910.719696,45,-2.88490220253499e-17,0,8.162578752600713e-20,7.42052613872792e-21,1,11,12,1608190004.856582,1608189869.719499,0.21027680290443043,45.0,18.287964793281652,5.0,0,0,0,20.633997559198427,0.6666666666666667
DTM,Dis,1608189911.719701,17,-4.546237151294863e-15,0,2.1600747949362754e-17,2.1600747949362753e-18,0,10,10,1608190006.856582,1608189870.719519,0.17817549352223971,17.0,20.310477298163587,3.0,0,0,0,28.454114519920687,0.8
DERAS,N,1608189912.719705,15,-5.303755079518409e-16,0,2.394024734719895e-19,2.6600274830221055e-20,2,9,11,1608190008.856582,1608189871.719525,0.19939663702577826,15.0,16.513897462091478,23.0,0,0,0,23.812017261280783,0.5090909090909091
DTM,Dis,1608189913.719709,37,-2.3760822744299026e-16,0,1.2395912781610495e-18,1.1269011619645905e-19,0,11,11,1608190010.856582,1608189870.719519,0.19563578850480884,37.0,20.673293009073074,3.0,0,0,0,28.681028710719207,0.8
DERAS,Dis,1608189914.719713,33,-2.6068269333616635e-18,0,1.0267668412607491e-20,1.0267668412607492e-21,2,10,12,1608190012.856582,1608189871.719525,0.2171242033758986,33.0,16.864665601195917,3.0,0,0,0,24.046224058607145,0.5333333333333334
DERAS,Dis,1608189915.719717,45,-1.108908188561609e-19,0,1.469856783059492e-21,1.3362334391449927e-22,2,11,13,1608190014.856582,1608189871.719525,0.23497483679984296,45.0,17.450818401171002,1.0,0,0,0,24.581018560407138,0.5538461538461539
DERAS,Ux,1608189916.719722,29,-1.5767554581910914e-20,0,2.316168050902418e-22,1.9301400424186818e-23,2,12,14,1608190016.856582,1608189871.719525,0.25278106169787135,29.0,17.686515984820574,1.0,0,0,0,24.712208203839264,0.5714285714285715
DERAS,Ux,1608189917.719726,20,-2.4705792542959127e-21,0,3.9831418491552373e-23,3.0639552685809518e-24,2,13,15,1608190018.856582,1608189871.719525,0.27058404629778526,20.0,17.73278566512416,1.0,0,0,0,24.723606822851917,0.5866666666666668
DCM,Ind,1608189918.719731,45,-8.830426105086225e-19,0,9.086941824498722e-22,7.572451520415601e-23,1,12,13,1608190020.856582,1608189869.719499,0.22612768759054358,45.0,18.81173018949182,15.0,0,0,0,21.1885597315786,0.676923076923077
DER,Dis,1608189919.719735,41,-0.0,0,0.0,0.0,3,9,12,1608190022.856582,1608189872.71953,0.22003879402176663,41.0,14.69002188971702,25.0,0,0,0,19.998592438723573,0.4
DCM,N,1608189920.719739,37,-9.768462461336125e-21,0,5.470826445181151e-23,4.208328034754732e-24,1,13,14,1608190024.856582,1608189869.719499,0.24313704884625617,37.0,19.15490509157688,3.0,0,0,0,21.477527122934056,0.6857142857142858
DCM,N,1608189921.719744,27,-5.849575968309078e-22,0,1.063200140901169e-23,7.594286720722635e-25,1,14,15,1608190026.856582,1608189869.719499,0.2602767195054649,27.0,19.300184626918046,1.0,0,0,0,21.560207891939648,0.6933333333333334
DCM,N,1608189922.719748,31,-1.1315487213876727e-22,0,2.2118543874607933e-24,1.474569591640529e-25,1,15,16,1608190028.856582,1608189869.719499,0.2773832573781796,31.0,19.512908542792264,1.0,0,0,0,21.704277356722972,0.7000000000000001
DCM,Ind,1608189923.719752,45,-2.344565650708441e-23,0,4.903412715916394e-25,3.0646329474477463e-26,1,16,17,1608190030.856582,1608189869.719499,0.2944291925474636,45.0,19.968035175956686,1.0,0,0,0,22.162881105238533,0.7058823529411765
DER,N,1608189924.719756,15,-0.0,0,0.0,0.0,3,10,13,1608190032.856582,1608189872.71953,0.23728899430994627,15.0,14.695460102178124,9.0,0,0,0,19.994070465682874,0.4307692307692308
DER,Ex,1608189925.719760,36,-0.0,0,0.0,0.0,4,10,14,1608190034.856582,1608189872.71953,0.25528063982196375,36.0,15.062779755588847,1.0,0,0,0,20.315563049433813,0.3428571428571429
DERAS,Ex,1608189926.719764,24,-3.8912231910978087e-22,0,3.354256892329472e-25,2.5801976094842092e-26,3,13,16,1608190036.856582,1608189871.719525,0.2863185361158784,24.0,17.839009636901718,17.0,0,0,0,24.768902691115738,0.5
DTM,Ind,1608189927.719768,45,-1.3522813943575085e-17,0,8.445408100955129e-21,7.037840084129274e-22,0,12,12,1608190038.856582,1608189870.719519,0.21077900250388293,45.0,21.078738125588522,27.0,0,0,0,28.99119127252972,0.8
DCM,Dis,1608189928.719772,36,-5.179229681186691e-24,0,1.2778910129997172e-26,7.5170059588218655e-28,1,17,18,1608190040.856582,1608189869.719499,0.3104355669920284,36.0,20.230854271432808,9.0,0,0,0,22.36778052059604,0.7111111111111111
DERAS,Dis,1608189929.719777,33,-3.5348707249933665e-24,0,1.1345501845037478e-26,8.103929889312485e-28,3,14,17,1608190042.856582,1608189871.719525,0.3033744207577035,33.0,18.083541739532333,5.0,0,0,0,24.925321430321496,0.5176470588235293
DERAS,Ind,1608189930.719783,21,-1.1912776937289353e-25,0,2.0808442645353853e-27,1.3872295096902568e-28,3,15,18,1608190044.856582,1608189871.719525,0.3209622203296107,21.0,18.129834727793725,1.0,0,0,0,24.93895315503791,0.5333333333333334
DERAS,Dis,1608189931.719787,44,-2.177950330213703e-26,0,4.112515602750483e-28,2.570322251719052e-29,3,16,19,1608190046.856582,1608189871.719525,0.3385006593352317,44.0,18.53405606017195,1.0,0,0,0,25.287208856016175,0.5473684210526316
DER,N,1608189932.719792,25,-0.0,0,0.0,0.0,4,11,15,1608190048.856582,1608189872.71953,0.27182779027593795,25.0,15.215660067041327,13.0,0,0,0,20.403587064859085,0.37333333333333335
DERAS,N,1608189933.719796,24,-4.2924381603708164e-27,0,2.900897890368701e-29,1.706410523746295e-30,3,17,20,1608190050.856582,1608189871.719525,0.3556552079229353,24.0,18.616873392593586,3.0,0,0,0,25.32082412302358,0.5599999999999999
DER,N,1608189934.719800,34,-0.0,0,0.0,0.0,4,12,16,1608190052.856582,1608189872.71953,0.2893722039869947,34.0,15.4960233496228,3.0,0,0,0,20.630170345600277,0.4
DERAS,Ux,1608189935.719805,21,-3.020346627030942e-28,0,2.1810265261688195e-30,1.2116814034271219e-31,3,18,21,1608190054.856582,1608189871.719525,0.37278997518291074,21.0,18.651919372114268,3.0,0,0,0,25.329858131910786,0.5714285714285715
DCM,Ind,1608189936.719809,33,-1.345544066629114e-25,0,2.101132255143533e-28,1.1672956973019627e-29,1,18,19,1608190056.856582,1608189869.719499,0.3254182774066635,33.0,20.41591435445552,15.0,0,0,0,22.49720769612711,0.7157894736842105
DCM,Ex,1608189937.719813,42,-2.0777863411974934e-27,0,4.6026003527717946e-29,2.5570001959843302e-30,2,18,20,1608190058.856582,1608189869.719499,0.34227084152371245,42.0,20.724258435106155,1.0,0,0,0,22.776620775226604,0.6400000000000001
DERAS,Ind,1608189938.719817,18,-2.265844224408718e-29,0,1.0434150095737575e-31,5.49165794512504e-33,3,19,22,1608190060.856582,1608189871.719525,0.3894912914602377,18.0,18.642737409126745,5.0,0,0,0,25.32133710586432,0.5818181818181819
DCM,Dis,1608189939.719821,33,-4.807160368450541e-28,0,3.762706352452187e-30,1.9803717644485194e-31,2,19,21,1608190062.856582,1608189869.719499,0.3587712266144134,33.0,20.89475484572968,3.0,0,0,0,22.893373346173554,0.6476190476190476
DTM,Ind,1608189940.719826,20,-9.149192109368057e-20,0,6.609266548200281e-23,5.084051190923293e-24,0,13,13,1608190064.856582,1608189870.719519,0.2257462485892917,20.0,21.06396089099142,25.0,0,0,0,28.98104676674199,0.8
DCM,Ux,1608189941.719830,28,-3.921136093608068e-29,0,3.2424873304935297e-31,1.621243665246765e-32,2,20,22,1608190066.856582,1608189869.719499,0.375217434714853,28.0,20.990771672138738,3.0,0,0,0,22.945750575854277,0.6545454545454545
DERAS,Ex,1608189942.719834,21,-1.0214483777932574e-30,0,3.155640992743088e-33,1.660863680391099e-34,4,19,23,1608190068.856582,1608189871.719525,0.4057655192884234,21.0,18.674167577005054,7.0,0,0,0,25.32938595265113,0.5217391304347826
DCM,Dis,1608189943.719839,21,-3.372186823713271e-30,0,2.936970672569745e-32,1.39855746312845e-33,2,21,23,1608190070.856582,1608189869.719499,0.3915953496577895,21.0,20.990893097505335,3.0,0,0,0,22.939706642574617,0.6608695652173914
DTM,Dis,1608189944.719843,15,-7.117671667292611e-22,0,1.9707887038681565e-24,1.4077062170486832e-25,0,14,14,1608190072.856582,1608189870.719519,0.2422758728544403,15.0,20.985208152147376,7.0,0,0,0,28.95589161903893,0.8
DTM,N,1608189945.719848,38,-2.1115593255730248e-23,0,4.381013277427049e-25,2.9206755182846996e-26,0,15,15,1608190074.856582,1608189870.719519,0.2593470394348351,38.0,21.203346509171126,1.0,0,0,0,29.093943508640226,0.8
DERAS,Ex,1608189946.719852,22,-3.072597808723533e-32,0,8.876288487442234e-35,4.6717307828643335e-36,5,19,24,1608190076.856582,1608189871.719525,0.4219248248385056,22.0,18.716266721599926,7.0,0,0,0,25.342928437376592,0.4666666666666666
DER,Dis,1608189947.719856,29,-0.0,0,0.0,0.0,4,13,17,1608190078.856582,1608189872.71953,0.30391875982513333,29.0,15.664823057752514,25.0,0,0,0,20.743693767619632,0.42352941176470593
DCM,N,1608189948.719860,23,-3.0488552696200208e-31,0,9.271956746808904e-34,4.2145257940040475e-35,2,22,24,1608190080.856582,1608189869.719499,0.40681988205034547,23.0,21.015696886425022,9.0,0,0,0,22.94641435565597,0.6666666666666667
DCM,N,1608189949.719864,26,-9.609118810329229e-33,0,2.7576934002727493e-34,1.1989971305533692e-35,2,23,25,1608190082.856582,1608189869.719499,0.42335057552731387,26.0,21.07648107073691,1.0,0,0,0,22.975163048465063,0.672
DER,Ux,1608189950.719869,15,-0.0,0,0.0,0.0,4,14,18,1608190084.856582,1608189872.71953,0.3207950531287539,15.0,15.65681314139405,5.0,0,0,0,20.736194097128283,0.4444444444444445
DERAS,N,1608189951.719873,33,-9.10987502658545e-34,0,2.1798810581904122e-36,1.089940529095206e-37,5,20,25,1608190086.856582,1608189871.719525,0.4374478297314288,33.0,18.886311165390403,9.0,0,0,0,25.448928121031376,0.48
DER,Ex,1608189952.719877,25,-0.0,0,0.0,0.0,5,14,19,1608190088.856582,1608189872.71953,0.3380543830461322,25.0,15.766732986789414,3.0,0,0,0,20.797837449274343,0.3789473684210527
DERAS,Dis,1608189953.719882,30,-2.2343780846451724e-35,0,1.7058753722801572e-37,8.123216058476939e-39,5,21,26,1608190090.856582,1608189871.719525,0.45416099809992433,30.0,19.015540105327723,3.0,0,0,0,25.520601451984,0.49230769230769234
DERAS,Dis,1608189954.719886,20,-1.7464914525725418e-36,0,4.241150676427729e-38,1.927795762012604e-39,5,22,27,1608190092.856582,1608189871.719525,0.4711485646568091,20.0,19.026855736300966,1.0,0,0,0,25.52070078547827,0.5037037037037038
DERAS,N,1608189955.719890,38,-4.337540464528359e-37,0,1.1133370429470628e-38,4.840595838900273e-40,5,23,28,1608190094.856582,1608189871.719525,0.4882399822751034,38.0,19.242459648388458,1.0,0,0,0,25.676408229036394,0.5142857142857142
DTM,N,1608189956.719894,21,-4.673080829255519e-24,0,4.8773044179342874e-27,3.0483152612089296e-28,0,16,16,1608190096.856582,1608189870.719519,0.27397180928105563,21.0,21.20106171693325,21.0,0,0,0,29.088978103245207,0.8
DTM,N,1608189957.719899,41,-5.18213594405518e-26,0,1.2057861248313813e-27,7.092859557831654e-29,0,17,17,1608190098.856582,1608189870.719519,0.2908516241779197,41.0,21.421049920078435,1.0,0,0,0,29.23948490425017,0.8
